prefix,firstname,surname,dob,dod,alias_type,alias,start,end,corresponding_id
Viscount,,Castlerosse,1825-01-01,1905-02-09,alternative_title,Earl of Kenmare,1871-12-26,1905-02-09,
Viscount,,Castlerosse,1825-01-01,1905-02-09,alternative_title,Viscount Castlerosse,1871-12-26,1905-02-09,
Viscount,,Castlerosse,1825-01-01,1905-02-09,alternative_title,Viscount Kenmare,1871-12-26,1905-02-09,
Mr,Alan,Cathcart,1828-11-14,1905-10-30,lord_membership,Baron Greenock,1859-07-16,1905-10-30,
Mr,Alan,Cathcart,1828-11-14,1905-10-30,lord_membership,Earl Cathcart,1859-07-16,1905-10-30,
Mr,Alan,Cathcart,1828-11-14,1905-10-30,lord_membership,Viscount Cathcart,1859-07-16,1905-10-30,
Mr,Alan,Cathcart,1828-11-14,1905-10-30,alternative_title,Lord Cathcart,1859-07-16,1905-10-30,
Mr,Alan,Cathcart,1856-03-16,1911-09-02,lord_membership,Baron Greenock,1905-10-30,1911-09-02,
Mr,Alan,Cathcart,1856-03-16,1911-09-02,lord_membership,Earl Cathcart,1905-10-30,1911-09-02,
Mr,Alan,Cathcart,1856-03-16,1911-09-02,lord_membership,Viscount Cathcart,1905-10-30,1911-09-02,
Mr,Alan,Cathcart,1856-03-16,1911-09-02,alternative_title,Lord Cathcart,1905-10-30,1911-09-02,
Mr,Charles,Cathcart,1783-12-21,1859-07-16,lord_membership,Baron Greenock,1843-06-16,1859-07-16,6594.0
Mr,Charles,Cathcart,1783-12-21,1859-07-16,lord_membership,Earl Cathcart,1843-06-16,1859-07-16,6594.0
Mr,Charles,Cathcart,1783-12-21,1859-07-16,lord_membership,Viscount Cathcart,1843-06-16,1859-07-16,6594.0
Mr,Charles,Cathcart,1783-12-21,1859-07-16,alternative_title,Lord Cathcart,1843-06-16,1859-07-16,6594.0
Mr,William,Cathcart,1755-09-17,1843-06-16,lord_membership,Baron Greenock,1807-11-09,1843-06-16,6480.0
Mr,William,Cathcart,1755-09-17,1843-06-16,lord_membership,Viscount Cathcart,1807-11-09,1843-06-16,6480.0
Mr,William,Cathcart,1755-09-17,1843-06-16,lord_membership,Earl Cathcart,1814-07-16,1843-06-16,6480.0
Mr,William,Cathcart,1755-09-17,1843-06-16,alternative_title,Lord Cathcart,1776-08-14,1843-06-16,6480.0
Mr,Francis,Caulfeild,1775-01-03,1863-12-26,lord_membership,Baron Charlemont,1837-02-13,1863-12-26,6481.0
Mr,Francis,Caulfeild,1775-01-03,1863-12-26,alternative_title,Earl of Charlemont,1799-08-04,1863-12-26,6481.0
Mr,Francis,Caulfeild,1775-01-03,1863-12-26,alternative_title,Lord Caulfeild,1799-08-04,1863-12-26,6481.0
Mr,Francis,Caulfeild,1775-01-03,1863-12-26,alternative_title,Viscount Charlemont,1799-08-04,1863-12-26,6481.0
Mr,James,Caulfeild,1820-01-01,1892-12-31,lord_membership,Earl Charlemont,1863-01-01,1892-12-31,3890.0
Mr,James,Caulfeild,1820-01-01,1892-12-31,lord_membership,Baron Charlemont,1863-12-26,1892-01-12,3890.0
Mr,James,Caulfeild,1820-01-01,1892-12-31,alternative_title,Earl of Charlemont,1863-12-26,1892-01-12,3890.0
Mr,James,Caulfeild,1820-01-01,1892-12-31,alternative_title,Lord Caulfeild,1863-12-26,1892-01-12,3890.0
Mr,James,Caulfeild,1820-01-01,1892-12-31,alternative_title,Viscount Charlemont,1863-12-26,1892-01-12,3890.0
Mr,Richard,Causton,1843-01-01,1929-02-23,lord_membership,Baron Southwark,1910-07-13,1929-02-23,5661.0
Hon.,Robert,Cave,1796-01-01,1844-12-31,alternative_name,Robert Otway,1796-01-01,1818-12-31,2448.0
Lord,,Cavendish,1808-01-01,1891-12-31,lord_membership,Earl of Burlington,1834-01-01,1891-12-31,
Lord,,Cavendish,1808-01-01,1891-12-31,lord_membership,Baron Cavendish of Keighley,1834-05-04,1891-12-21,
Lord,,Cavendish,1808-01-01,1891-12-31,lord_membership,Duke of Devonshire,1858-01-01,1891-12-31,
Lord,,Cavendish,1808-01-01,1891-12-31,lord_membership,Baron Cavendish of Hardwick,1858-01-18,1891-12-21,
Lord,,Cavendish,1808-01-01,1891-12-31,lord_membership,Earl of Devonshire,1858-01-18,1891-12-21,
Lord,,Cavendish,1808-01-01,1891-12-31,alternative_name,William Cavendish,1808-01-01,1891-12-31,
Hon.,Charles,Cavendish,1793-01-01,1863-12-31,lord_membership,Baron Chesham,1858-01-01,1863-12-31,
Mr,Charles,Cavendish,1850-12-13,1907-11-09,lord_membership,Baron Chesham,1882-06-26,1907-11-09,
Lord,George,Cavendish,1754-03-21,1834-05-04,lord_membership,Baron Cavendish of Keighley,1831-09-10,1834-05-04,
Lord,George,Cavendish,1754-03-21,1834-05-04,lord_membership,Earl of Burlington,1831-09-10,1834-05-04,
Mr,John,Cavendish,1894-06-13,1952-04-26,lord_membership,Baron Chesham,1907-11-09,1952-04-26,7248.0
Mr,Victor,Cavendish,1868-01-01,1938-05-06,lord_membership,Duke of Devonshire,1908-01-01,1938-05-06,6427.0
Mr,Victor,Cavendish,1868-01-01,1938-05-06,lord_membership,Baron Cavendish of Hardwick,1908-03-24,1938-05-06,6427.0
Mr,Victor,Cavendish,1868-01-01,1938-05-06,lord_membership,Baron Cavendish of Keighley,1908-03-24,1938-05-06,6427.0
Mr,Victor,Cavendish,1868-01-01,1938-05-06,lord_membership,Earl of Burlington,1908-03-24,1938-05-06,6427.0
Mr,Victor,Cavendish,1868-01-01,1938-05-06,lord_membership,Earl of Devonshire,1908-03-24,1938-05-06,6427.0
Hon.,William,Cavendish,1815-01-01,1882-12-31,lord_membership,Baron Chesham,1863-01-01,1882-12-31,
Mr,William,Cavendish,1748-12-14,1811-07-29,lord_membership,Lord Clifford,1754-12-24,1811-07-29,6652.0
Mr,William,Cavendish,1748-12-14,1811-07-29,lord_membership,Earl of Devonshire,1764-10-02,1811-07-29,6652.0
Mr,William,Cavendish,1748-12-14,1811-07-29,lord_membership,Duke of Devonshire,1764-10-02,1811-07-29,6652.0
Mr,William,Cavendish,1748-12-14,1811-07-29,lord_membership,Baron Cavendish of Hardwick,1764-10-02,1811-07-29,6652.0
Mr,William,Cavendish,1790-05-21,1858-01-18,lord_membership,Baron Cavendish of Hardwick,1811-07-29,1858-01-18,
Mr,William,Cavendish,1790-05-21,1858-01-18,lord_membership,Duke of Devonshire,1811-07-29,1858-01-18,
Mr,William,Cavendish,1790-05-21,1858-01-18,lord_membership,Earl of Devonshire,1811-07-29,1858-01-18,
Mr,William,Cavendish,1790-05-21,1858-01-18,lord_membership,Lord Clifford,1811-07-29,1858-01-18,
Lord,William,Cavendish-Bentinck,1774-01-01,1839-12-31,alternative_name,Lord William Bentinck,1774-01-01,1839-12-31,1809.0
Mr,William,Cavendish-Bentinck,1857-12-28,1943-04-26,lord_membership,Baron Bolsover,1893-08-07,1943-04-26,
Miss,Thelma,Cazalet,1899-01-01,1989-01-13,alternative_name,Thelma Keir,1899-01-01,1989-12-31,10099.0
Mr,Brownlow,Cecil,1795-07-02,1867-01-16,lord_membership,Baron of Burghley,1804-05-01,1867-01-16,
Mr,Brownlow,Cecil,1795-07-02,1867-01-16,lord_membership,Earl of Exeter,1804-05-01,1867-01-16,
Mr,Henry,Cecil,1754-03-14,1804-05-01,lord_membership,Baron of Burghley,1793-12-26,1804-05-01,6653.0
Mr,Henry,Cecil,1754-03-14,1804-05-01,lord_membership,Earl of Exeter,1793-12-26,1804-05-01,6653.0
Mr,Henry,Cecil,1754-03-14,1804-05-01,lord_membership,Marquess Exeter,1801-02-04,1804-05-01,6653.0
Lord,Robert,Cecil,1830-01-01,1903-08-22,lord_membership,Marquis of Salisbury,1868-01-01,1903-08-22,
Lord,Robert,Cecil,1830-01-01,1903-08-22,alternative_name,Robert Cecil,1830-01-01,1903-12-31,4342.0
Lord,Robert,Cecil,1830-01-01,1903-08-22,alternative_name,Viscount Cranborne,1865-01-01,1868-12-31,
Lord,Robert,Cecil,1864-01-01,1958-11-24,alternative_name,Robert Gascoyne-Cecil,1864-01-01,1958-12-31,
Mr,William,Cecil,1876-10-27,1956-08-06,lord_membership,Baron of Burghley,1898-04-09,1956-08-06,7149.0
Mr,William,Cecil,1876-10-27,1956-08-06,lord_membership,Earl of Exeter,1898-04-09,1956-08-06,7149.0
Mr,Richard,Chaloner,1856-01-01,1938-01-23,alternative_name,Richard Long,1856-01-01,1888-12-31,7377.0
,,Chandos,1823-01-01,1889-12-31,lord_membership,Duke of Buckingham and Chandos,1861-01-01,1889-12-31,
,,Chandos,1823-01-01,1889-12-31,lord_membership,Earl Temple of Stowe,1861-07-29,1889-03-26,
,,Chandos,1823-01-01,1889-12-31,lord_membership,Baron Cobham,1861-07-29,1889-03-26,
,,Chandos,1823-01-01,1889-12-31,lord_membership,Viscount Cobham,1861-07-29,1889-03-26,
,,Chandos,1823-01-01,1889-12-31,alternative_name,Richard Grenville,1823-01-01,1889-12-31,
,,Chandos,1823-01-01,1889-12-31,alternative_name,Richard Temple-Nugent-Brydges-Chandos-Grenville,1823-01-01,1889-12-31,
,,Chandos,1797-01-01,1861-12-31,lord_membership,Duke of Buckingham and Chandos,1839-01-01,1861-12-31,
,,Chandos,1797-01-01,1861-12-31,lord_membership,Earl Temple of Stowe,1839-01-17,1861-07-29,
,,Chandos,1797-01-01,1861-12-31,lord_membership,Baron Cobham,1839-01-17,1861-07-29,
,,Chandos,1797-01-01,1861-12-31,lord_membership,Viscount Cobham,1839-01-17,1861-07-29,
,,Chandos,1797-01-01,1861-12-31,alternative_name,Richard Grenville,1797-01-01,1861-12-31,2886.0
,,Chandos,1797-01-01,1861-12-31,alternative_name,Richard Temple-Nugent-Brydges-Chandos-Grenville,1797-01-01,1861-12-31,2886.0
,,Chandos,1797-01-01,1861-12-31,alternative_name,Earl Temple,1818-01-01,1822-12-31,2886.0
Hon.,Francis,Charteris,1818-01-01,1914-06-30,lord_membership,Earl of Wemyss,1883-01-01,1914-06-30,3673.0
Hon.,Francis,Charteris,1818-01-01,1914-06-30,alternative_name,Lord Elcho,1853-01-01,1883-12-31,3673.0
Viscount,,Chelsea,1868-01-01,1908-07-02,alternative_name,Henry Cadogan,1868-01-01,1873-12-31,
Viscount,,Chelsea,1840-01-01,1915-03-06,lord_membership,Earl Cadogan,1873-01-01,1915-03-06,
Viscount,,Chelsea,1840-01-01,1915-03-06,lord_membership,Baron Cadogan of Oakley,1873-06-08,1915-03-06,
Viscount,,Chelsea,1840-01-01,1915-03-06,lord_membership,Baron Oakley of Caversham,1873-06-08,1915-03-06,
Viscount,,Chelsea,1840-01-01,1915-03-06,lord_membership,Viscount Chelsea,1873-06-08,1915-03-06,
Viscount,,Chelsea,1840-01-01,1915-03-06,alternative_name,George Cadogan,1840-01-01,1915-12-31,
Viscount,,Chelsea,1812-01-01,1873-12-31,lord_membership,Earl Cadogan,1864-01-01,1873-12-31,
Viscount,,Chelsea,1812-01-01,1873-12-31,lord_membership,Baron Cadogan of Oakley,1864-09-15,1873-06-08,
Viscount,,Chelsea,1812-01-01,1873-12-31,lord_membership,Baron Oakley of Caversham,1864-09-15,1873-06-08,
Viscount,,Chelsea,1812-01-01,1873-12-31,lord_membership,Viscount Chelsea,1864-09-15,1873-06-08,
Viscount,,Chelsea,1812-01-01,1873-12-31,alternative_name,Henry Cadogan,1812-01-01,1873-12-31,
Mr,Arthur,Chichester,1797-01-08,1837-09-26,lord_membership,Baron Templemore,1831-09-10,1837-09-26,
Mr,Arthur,Chichester,1854-09-16,1924-09-28,lord_membership,Baron Templemore,1906-06-10,1924-09-28,7235.0
Mr,Edward,Chichester,1799-06-11,1889-01-20,lord_membership,Baron Fisherwick,1883-10-20,1889-01-20,7016.0
Mr,Edward,Chichester,1799-06-11,1889-01-20,alternative_title,Baron Chichester of Belfast,1883-10-20,1889-01-20,7016.0
Mr,Edward,Chichester,1799-06-11,1889-01-20,alternative_title,Earl of Belfast,1883-10-20,1889-01-20,7016.0
Mr,Edward,Chichester,1799-06-11,1889-01-20,alternative_title,Earl of Donegall,1883-10-20,1889-01-20,7016.0
Mr,Edward,Chichester,1799-06-11,1889-01-20,alternative_title,Viscount Chichester of Carrickfergus,1883-10-20,1889-01-20,7016.0
Mr,George,Chichester,1769-08-13,1844-10-05,lord_membership,Baron Fisherwick,1799-01-05,1844-10-05,
Mr,George,Chichester,1769-08-13,1844-10-05,alternative_title,Baron Chichester of Belfast,1799-01-05,1844-10-05,
Mr,George,Chichester,1769-08-13,1844-10-05,alternative_title,Earl of Belfast,1799-01-05,1844-10-05,
Mr,George,Chichester,1769-08-13,1844-10-05,alternative_title,Earl of Donegall,1799-01-05,1844-10-05,
Mr,George,Chichester,1769-08-13,1844-10-05,alternative_title,Viscount Chichester of Carrickfergus,1799-01-05,1844-10-05,
Mr,George,Chichester,1822-06-27,1904-05-13,lord_membership,Baron Fisherwick,1889-01-20,1904-05-13,7069.0
Mr,George,Chichester,1822-06-27,1904-05-13,alternative_title,Baron Chichester of Belfast,1889-01-20,1904-05-13,7069.0
Mr,George,Chichester,1822-06-27,1904-05-13,alternative_title,Earl of Belfast,1889-01-20,1904-05-13,7069.0
Mr,George,Chichester,1822-06-27,1904-05-13,alternative_title,Earl of Donegall,1889-01-20,1904-05-13,7069.0
Mr,George,Chichester,1822-06-27,1904-05-13,alternative_title,Viscount Chichester of Carrickfergus,1889-01-20,1904-05-13,7069.0
Mr,Harry,Chichester,1821-06-14,1906-06-10,lord_membership,Baron Templemore,1837-09-26,1906-06-10,6484.0
Hon.,Francis,Child-Villiers,1819-01-01,1862-12-31,alternative_name,Hon. Francis Villiers,1819-01-01,1862-12-31,4282.0
Hon.,Frederick,Child-Villiers,1815-01-01,1871-12-31,alternative_name,Hon. Frederick Villiers,1815-01-01,1871-12-31,4061.0
Mr,George,Cholmondeley,1749-05-11,1827-04-10,lord_membership,Baron Cholmondeley of Witch Malbank,1770-06-10,1827-04-10,6654.0
Mr,George,Cholmondeley,1749-05-11,1827-04-10,lord_membership,Baron Newburgh,1770-06-10,1827-04-10,6654.0
Mr,George,Cholmondeley,1749-05-11,1827-04-10,lord_membership,Earl of Cholmondeley,1770-06-10,1827-04-10,6654.0
Mr,George,Cholmondeley,1749-05-11,1827-04-10,lord_membership,Viscount Malpas,1770-06-10,1827-04-10,6654.0
Mr,George,Cholmondeley,1749-05-11,1827-04-10,lord_membership,Marquess Cholmondeley,1815-11-22,1827-04-10,
Mr,George,Cholmondeley,1749-05-11,1827-04-10,lord_membership,Earl of Rocksavage,1815-11-22,1827-04-10,
Mr,George,Cholmondeley,1749-05-11,1827-04-10,alternative_title,Baron Newborough of Newborough,1770-06-10,1827-04-10,6654.0
Mr,George,Cholmondeley,1749-05-11,1827-04-10,alternative_title,Viscount Cholmondeley of Kells,1770-06-10,1827-04-10,6654.0
Mr,George,Cholmondeley,1792-01-16,1870-05-08,lord_membership,Baron Newburgh,1822-01-05,1870-05-08,
Mr,George,Cholmondeley,1792-01-16,1870-05-08,lord_membership,Earl of Cholmondeley,1827-04-10,1870-05-08,
Mr,George,Cholmondeley,1792-01-16,1870-05-08,lord_membership,Baron Cholmondeley of Witch Malbank,1827-04-10,1870-05-08,
Mr,George,Cholmondeley,1792-01-16,1870-05-08,lord_membership,Earl of Rocksavage,1827-04-10,1870-05-08,
Mr,George,Cholmondeley,1792-01-16,1870-05-08,lord_membership,Viscount Malpas,1827-04-10,1870-05-08,
Mr,George,Cholmondeley,1792-01-16,1870-05-08,alternative_title,Baron Newborough of Newborough,1827-04-10,1870-05-08,
Mr,George,Cholmondeley,1792-01-16,1870-05-08,alternative_title,Viscount Cholmondeley of Kells,1827-04-10,1870-05-08,
Mr,George,Cholmondeley,1858-07-03,1923-03-16,lord_membership,Baron Cholmondeley of Witch Malbank,1884-12-16,1923-03-16,7023.0
Mr,George,Cholmondeley,1858-07-03,1923-03-16,lord_membership,Baron Newburgh,1884-12-16,1923-03-16,7023.0
Mr,George,Cholmondeley,1858-07-03,1923-03-16,lord_membership,Earl of Cholmondeley,1884-12-16,1923-03-16,7023.0
Mr,George,Cholmondeley,1858-07-03,1923-03-16,lord_membership,Earl of Rocksavage,1884-12-16,1923-03-16,7023.0
Mr,George,Cholmondeley,1858-07-03,1923-03-16,lord_membership,Viscount Malpas,1884-12-16,1923-03-16,7023.0
Mr,George,Cholmondeley,1858-07-03,1923-03-16,alternative_title,Baron Newborough of Newborough,1884-12-16,1923-03-16,7023.0
Mr,George,Cholmondeley,1858-07-03,1923-03-16,alternative_title,Viscount Cholmondeley of Kells,1884-12-16,1923-03-16,7023.0
Hon.,Hugh,Cholmondeley,1812-01-01,1887-12-31,lord_membership,Ld Delamere,1855-01-01,1887-12-31,
Mr,Thomas,Cholmondeley,1767-08-09,1855-10-30,lord_membership,Baron Delamere,1821-07-17,1855-10-30,701.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,lord_membership,Marq Cholmondeley,1870-01-01,1884-12-31,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,lord_membership,Earl of Rocksavage,1870-05-08,1884-12-16,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,lord_membership,Earl of Cholmondeley,1870-05-08,1884-12-16,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,lord_membership,Baron Newburgh,1870-05-08,1884-12-16,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,lord_membership,Baron Cholmondeley of Witch Malbank,1870-05-08,1884-12-16,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,lord_membership,Viscount Malpas,1870-05-08,1884-12-16,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,alternative_name,William Cholmondeley,1800-01-01,1884-12-31,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,alternative_title,Baron Newborough of Newborough,1870-05-08,1884-12-16,2315.0
Lord,William,Cholmondeley,1800-01-01,1884-12-31,alternative_title,Viscount Cholmondeley of Kells,1870-05-08,1884-12-16,2315.0
Mr,Samuel,Christy,1810-01-01,1889-12-31,alternative_name,Samuel Christie-Miller,1810-01-01,1889-12-31,3992.0
Viscount,,Clements,1805-01-01,1839-12-31,alternative_name,Robert Clements,1805-01-01,1839-12-31,
Viscount,,Clements,1806-01-01,1878-12-31,lord_membership,Earl of Leitrim,1854-01-01,1878-12-31,
Viscount,,Clements,1806-01-01,1878-12-31,alternative_name,William Clements,1806-01-01,1839-12-31,
Mr,Charles,Clements,1879-06-23,1952-06-09,lord_membership,Baron Clements of Kilmacrenan,1892-04-05,1952-06-09,7096.0
Mr,Charles,Clements,1879-06-23,1952-06-09,alternative_title,Baron Leitrim,1892-04-05,1952-06-09,7096.0
Mr,Charles,Clements,1879-06-23,1952-06-09,alternative_title,Earl of Leitrim,1892-04-05,1952-06-09,7096.0
Mr,Charles,Clements,1879-06-23,1952-06-09,alternative_title,Viscount Leitrim,1892-04-05,1952-06-09,7096.0
Mr,Nathaniel,Clements,1768-05-09,1854-12-31,lord_membership,Baron Clements of Kilmacrenan,1831-06-20,1854-12-31,6486.0
Mr,Nathaniel,Clements,1768-05-09,1854-12-31,alternative_title,Baron Leitrim,1804-07-27,1854-12-31,6486.0
Mr,Nathaniel,Clements,1768-05-09,1854-12-31,alternative_title,Earl of Leitrim,1804-07-27,1854-12-31,6486.0
Mr,Nathaniel,Clements,1768-05-09,1854-12-31,alternative_title,Viscount Leitrim,1804-07-27,1854-12-31,6486.0
Mr,Robert,Clements,1847-03-05,1892-04-05,lord_membership,Baron Clements of Kilmacrenan,1878-04-02,1892-04-05,6981.0
Mr,Robert,Clements,1847-03-05,1892-04-05,alternative_title,Baron Leitrim,1878-04-02,1892-04-05,6981.0
Mr,Robert,Clements,1847-03-05,1892-04-05,alternative_title,Earl of Leitrim,1878-04-02,1892-04-05,6981.0
Mr,Robert,Clements,1847-03-05,1892-04-05,alternative_title,Viscount Leitrim,1878-04-02,1892-04-05,6981.0
Mr,William,Clements,1806-10-16,1871-04-02,lord_membership,Baron Clements of Kilmacrenan,1854-12-31,1871-04-02,
Mr,William,Clements,1806-10-16,1871-04-02,alternative_title,Baron Leitrim,1854-12-31,1871-04-02,
Mr,William,Clements,1806-10-16,1871-04-02,alternative_title,Earl of Leitrim,1854-12-31,1871-04-02,
Mr,William,Clements,1806-10-16,1871-04-02,alternative_title,Viscount Leitrim,1854-12-31,1871-04-02,
Mr,Charles,Clifford,1819-07-27,1880-08-05,lord_membership,Baron Clifford of Chudleigh,1858-02-28,1880-08-05,
Mr,Charles,Clifford,1759-11-28,1831-04-29,lord_membership,Baron Clifford of Chudleigh,1793-01-15,1831-04-29,6655.0
Mr,Hugh,Clifford,1790-05-22,1858-02-28,lord_membership,Baron Clifford of Chudleigh,1831-04-29,1858-02-28,
Mr,Lewis,Clifford,1851-08-24,1916-07-19,lord_membership,Baron Clifford of Chudleigh,1880-08-05,1916-07-19,6990.0
Mr,Rawdon,Clifton,1858-11-14,1912-08-29,lord_membership,Lord Grey,1887-12-15,1912-08-29,7058.0
Lord,Arthur,Clinton,1840-01-01,1870-12-31,alternative_name,Arthur Pelham-Clinton,1840-01-01,1870-12-31,4903.0
Lord,Charles,Clinton,1813-01-01,1894-12-31,alternative_name,Charles Pelham-Clinton,1813-01-01,1894-12-31,4285.0
Lord,Edward,Clinton,1836-01-01,1907-07-09,alternative_name,Edward Pelham-Clinton,1836-01-01,1907-12-31,4912.0
Lord,Robert,Clinton,1820-01-01,1867-12-31,alternative_name,Robert Pelham-Clinton,1820-01-01,1867-12-31,4267.0
Viscount,,Clive,1818-01-01,1891-12-31,lord_membership,Earl of Powis,1848-01-01,1891-12-31,
Viscount,,Clive,1818-01-01,1891-12-31,alternative_name,Edward Herbert,1818-01-01,1891-12-31,
Viscount,,Clive,1785-01-01,1848-12-31,lord_membership,Earl of Powis,1839-01-01,1848-12-31,
Viscount,,Clive,1785-01-01,1848-12-31,alternative_name,Edward Clive,1785-01-01,1848-12-31,
Mr,Edward,Clive,1754-03-07,1839-05-16,lord_membership,Baron Clive of Walcot,1794-08-13,1839-05-16,
Mr,Edward,Clive,1754-03-07,1839-05-16,lord_membership,Baron Powis,1804-05-14,1839-05-16,
Mr,Edward,Clive,1754-03-07,1839-05-16,lord_membership,Baron Herbert of Chirbury,1804-05-14,1839-05-16,
Mr,Edward,Clive,1754-03-07,1839-05-16,lord_membership,Earl of Powis,1804-05-14,1839-05-16,
Mr,Edward,Clive,1754-03-07,1839-05-16,lord_membership,Viscount Clive of Ludlow,1804-05-14,1839-05-16,
Mr,Edward,Clive,1754-03-07,1839-05-16,alternative_title,Baron Clive of Plassey,1774-11-22,1839-05-16,
Mr,Thomas,Cochrane,1775-12-14,1860-10-31,alternative_title,Earl of Dundonald,1831-07-01,1860-10-31,
Mr,Thomas,Cochrane,1775-12-14,1860-10-31,alternative_title,Lord Cochrane of Dundonald,1831-07-01,1860-10-31,
Mr,Thomas,Cochrane,1775-12-14,1860-10-31,alternative_title,Lord Cochrane of Paseley and Ochiltrie,1831-07-01,1860-10-31,
Hon.,Charles,Cochrane-Baillie,1860-01-01,1940-09-16,lord_membership,Ld Lamington,1890-01-01,1940-09-16,6321.0
Mr,John,Cocks,,1841-01-05,lord_membership,Earl Somers,1821-07-17,1841-01-05,1814.0
Mr,Thomas,Coke,1754-05-06,1842-06-30,lord_membership,Earl Leicester,1837-08-12,1842-06-30,
Mr,John,Colborne,1778-02-16,1863-04-17,lord_membership,Baron Seaton of Seaton,1839-12-14,1863-04-17,6488.0
Mr,Nicholas,Colborne,1779-01-01,1854-12-31,lord_membership,Ld Colborne(ist(),1839-01-01,1854-12-31,
Mr,Nicholas,Colborne,1779-01-01,1854-12-31,alternative_name,Nicholas Ridley,1779-01-01,1854-12-31,1244.0
Viscount,,Cole,1845-01-01,1925-04-28,lord_membership,Earl of Enniskillen,1886-01-01,1925-04-28,
Viscount,,Cole,1845-01-01,1925-04-28,alternative_name,Lowry Cole,1845-01-01,1925-12-31,
Viscount,,Cole,1807-01-01,1886-12-31,lord_membership,Earl of Enniskillen,1840-01-01,1886-12-31,
Viscount,,Cole,1807-01-01,1886-12-31,lord_membership,Baron Grinstead,1840-03-31,1886-11-12,
Viscount,,Cole,1807-01-01,1886-12-31,alternative_name,William Cole,1807-01-01,1886-12-31,
Viscount,,Cole,1807-01-01,1886-12-31,alternative_title,Baron Mountflorence of Florence Court,1840-03-31,1886-11-12,
Viscount,,Cole,1807-01-01,1886-12-31,alternative_title,Earl of Enniskillen,1840-03-31,1886-11-12,
Viscount,,Cole,1807-01-01,1886-12-31,alternative_title,Viscount Enniskillen,1840-03-31,1886-11-12,
Mr,John,Cole,1768-03-23,1840-03-31,lord_membership,Baron Grinstead,1815-08-11,1840-03-31,
Mr,John,Cole,1768-03-23,1840-03-31,alternative_title,Baron Mountflorence of Florence Court,1803-05-22,1840-03-31,6802.0
Mr,John,Cole,1768-03-23,1840-03-31,alternative_title,Earl of Enniskillen,1803-05-22,1840-03-31,6802.0
Mr,John,Cole,1768-03-23,1840-03-31,alternative_title,Viscount Enniskillen,1803-05-22,1840-03-31,6802.0
Mr,Lowry,Cole,1845-12-21,1924-04-28,lord_membership,Baron Grinstead,1886-11-12,1924-04-28,
Mr,Lowry,Cole,1845-12-21,1924-04-28,alternative_title,Baron Mountflorence of Florence Court,1886-11-12,1924-04-28,
Mr,Lowry,Cole,1845-12-21,1924-04-28,alternative_title,Earl of Enniskillen,1886-11-12,1924-04-28,
Mr,Lowry,Cole,1845-12-21,1924-04-28,alternative_title,Viscount Enniskillen,1886-11-12,1924-04-28,
Mr,Edward,Colebrooke,1861-10-12,1939-02-28,lord_membership,Baron Colebrooke,1906-02-20,1939-02-28,7236.0
Hon.,Bernard,Coleridge,1851-01-01,1927-09-04,lord_membership,Baron Coleridge,1894-01-01,1927-09-04,6159.0
Mr,John,Coleridge,1820-01-01,1894-12-31,lord_membership,Baron Coleridge,1874-01-01,1894-12-31,
Mr,Robert,Collier,1817-01-01,1886-12-31,lord_membership,Baron Monkswell,1885-01-01,1886-12-31,4273.0
Mr,Cuthbert,Collingwood,,1810-03-07,lord_membership,Baron Collingwood,1805-11-20,1810-03-07,
Mr,Richard,Collins,,1911-01-03,lord_membership,Baron Collins,1907-03-06,1911-01-03,
Mr,Charles,Colville,1854-04-26,1928-03-25,lord_membership,Baron Colville,1903-07-01,1928-03-25,
Mr,Charles,Colville,1854-04-26,1928-03-25,lord_membership,Viscount Colville of Culross,1903-07-01,1928-03-25,
Mr,Charles,Colville,1854-04-26,1928-03-25,alternative_title,Lord Colville of Culross,1903-07-01,1928-03-25,
Mr,Charles,Colville,1818-11-23,1903-07-01,lord_membership,Baron Colville,1885-12-31,1903-07-01,
Mr,Charles,Colville,1818-11-23,1903-07-01,lord_membership,Viscount Colville of Culross,1902-07-12,1903-07-01,
Mr,Charles,Colville,1818-11-23,1903-07-01,alternative_title,Lord Colville of Culross,1849-10-22,1903-07-01,7036.0
Lord,,Compton,1851-01-01,1913-06-16,lord_membership,Marquis of Northampton,1897-01-01,1913-06-16,
Lord,,Compton,1851-01-01,1913-06-16,alternative_name,William Scott-Compton,1851-01-01,1913-12-31,6181.0
Mr,Charles,Compton,,1828-05-24,lord_membership,Marquess Northampton,1812-09-07,1828-05-24,
Colonel,Edward,Conolly,1786-01-01,1849-12-31,alternative_name,Edward Pakenham,1786-01-01,1849-12-31,2944.0
Mr,Marmaduke,Constable-Maxwell,1837-10-04,1908-10-05,lord_membership,Baron Herries,1884-11-10,1908-10-05,7024.0
Lord,Albert,Conyngham,1805-01-01,1860-12-31,lord_membership,Baron Londesbrough,1850-01-01,1860-12-31,3300.0
